"task","group","n","seeds","step0","at5k","at10k","at10k_se","at15k","at20k","auc","auc_se","min_grid","min_at","pre","end","end_se","late","late_se","t80_n","s13_at10k","s13_auc","s13_end","s13_late","s13_at5k"
"square","tent12i_rs02","3","1,2,3","0.483333333333333","0.35","0.37","0.0378593889720018","0.456666666666667","0.46","0.387654350043147","0.0155746375609279","0.27","55088","0.371666666666667","0.358333333333333","0.01092906420717","0.365","0.0137689263682153","0","0.37","0.387654350043147","0.358333333333333","0.365","0.35"
"square","fixa015_rs02","3","1,2,3","0.476666666666667","0.393333333333333","0.386666666666667","0.0417665469538056","0.36","0.35","0.279158233309798","0.0567777704767061","0.15","65104","0.118333333333333","0.085","0.023094010767585","0.101666666666667","0.0178146319386933","0","0.386666666666667","0.279158233309798","0.085","0.101666666666667","0.393333333333333"
"can","baseline","5","1,2,3,4,5","0.504","0.452","0.28","0.0959687449120806","0.238","0.402","0.409214150347442","0.0283064985030289","0.238","15024","0.512","0.532","0.0565375981095766","0.522","0.0413249319418677","1","0.303333333333333","0.431966378886783","0.473333333333333","0.508333333333333","0.423333333333333"
"can","tent12i","3","1,2,3","0.563333333333333","0.53","0.46","0.0642910050732864","0.536666666666667","0.596666666666667","0.594208956271496","0.0521249891167323","0.46","10016","0.655","0.696666666666667","0.0583333333333333","0.675833333333333","0.0715939553624776","1","0.46","0.594208956271496","0.696666666666667","0.675833333333333","0.53"
"can","tent12i_hq","3","1,2,3","0.503333333333333","0.18","0.246666666666667","0.0133333333333333","0.273333333333333","0.386666666666667","0.390618024847336","0.0187385415197557","0.18","5008","0.49","0.46","0.0482182538049648","0.475","0.0458257569495584","0","0.246666666666667","0.390618024847336","0.46","0.475","0.18"
"can","tent12i_cap03","3","1,2,3","0.513333333333333","0.41","0.343333333333333","0.047022453265553","0.576666666666667","0.69","0.642068505650312","0.0107941560757972","0.343333333333333","10016","0.766666666666667","0.771666666666667","0.0183333333333334","0.769166666666667","0.0228369826767412","3","0.343333333333333","0.642068505650312","0.771666666666667","0.769166666666667","0.41"
"can","fixalpha_03","5","1,2,3,4,5","0.57","0.468","0.504","0.0700428440313498","0.632","0.56","0.656469151400295","0.0158704865855129","0.468","5008","0.756","0.739","0.0228254244210267","0.7475","0.0195416222458628","4","0.523333333333333","0.678943988208044","0.725","0.74","0.443333333333333"
"can","fixalpha_01","3","1,2,3","0.51","0.143333333333333","0.14","0.0472581562625261","0.496666666666667","0.443333333333333","0.500819119814698","0.0257224059945496","0.14","10016","0.5","0.625","0.0361708906903511","0.5625","0.0480451176846652","0","0.14","0.500819119814698","0.625","0.5625","0.143333333333333"
"can","mix_prefill","3","1,2,3","0.523333333333333","0.78","0.0933333333333333","0.0185592145427667","0.303333333333333","0.526666666666667","0.681709482698112","0.0193689922806405","0.0933333333333333","10016","0.801666666666667","0.858333333333333","0.0493569763165362","0.83","0.0379418414594407","3","0.0933333333333333","0.681709482698112","0.858333333333333","0.83","0.78"
"can","prefill_t12i","3","1,2,3","0.553333333333333","0.0966666666666667","0.37","0.0723417813807024","0.546666666666667","0.853333333333333","0.776371867761634","0.00664082553219625","0.0966666666666667","5008","0.863333333333333","0.87","0.0728583099813147","0.866666666666667","0.0360651416806373","3","0.37","0.776371867761634","0.87","0.866666666666667","0.0966666666666667"
"can","prefill_t12i_a015","3","1,2,3","0.493333333333333","0.283333333333333","0.54","0.0721110255092798","0.886666666666667","0.77","0.774219835754896","0.0388058669539117","0.283333333333333","5008","0.831666666666667","0.891666666666667","0.0289155859548291","0.861666666666667","0.0102401714395371","3","0.54","0.774219835754896","0.891666666666667","0.861666666666667","0.283333333333333"
"can","prefill_fixa03","3","1,2,3","0.536666666666667","0.493333333333333","0.5","0.110151410945722","0.48","0.42","0.654273180318664","0.0259669004065174","0.42","20032","0.708333333333333","0.763333333333333","0.0589019901569076","0.735833333333333","0.0296624528842628","3","0.5","0.654273180318664","0.763333333333333","0.735833333333333","0.493333333333333"
"can","prefill_fixa015","3","1,2,3","0.5","0.473333333333333","0.44","0.0929157324317757","0.706666666666667","0.79","0.776599284059802","0.0283159704302018","0.44","10016","0.866666666666667","0.93","0.0208166599946613","0.898333333333333","0.0183900637422616","3","0.44","0.776599284059802","0.93","0.898333333333333","0.473333333333333"
"can","calql_prefill","3","1,2,3","0.506666666666667","0.36","0.633333333333333","0.0433333333333333","0.65","0.576666666666667","0.654645188460729","0.01454174987168","0.36","5008","0.796666666666667","0.765","0.0152752523165194","0.780833333333333","0.0314355601897667","3","0.633333333333333","0.654645188460729","0.765","0.780833333333333","0.36"
"can","hardq","3","1,2,3","0.546666666666667","NaN","NaN","NaN","NaN","NaN","0.297602653190145","0.0254505742093757","?","-1","NaN","NaN","NaN","NaN","NaN","0","NaN","0.297602653190145","NaN","NaN","NaN"
