"group","bin","alpha","critic_alpha","qw","H"
"tent12i_cap03","70000","1.27046997745832","0.30","1051.90874430339","11.7342763900757"
"tent12i_cap03","90000","1.46091559727987","0.30","1220.55863037109","11.9409069061279"
"tent12i_cap03","110000","1.62804653962453","0.30","1347.18883463542","12.0555404663086"
"tent12i_cap1","0","0.145251177044378","0.15","-0.115596175193787","12.9248421986898"
"tent12i_cap1","5000","0.226876880725225","0.23","-8.70905139711168","11.054095586141"
"tent12i_cap1","10000","0.405657711790668","0.41","65.9403534465366","11.0848433176676"
"tent12i_cap1","20000","0.881999312837919","0.88","473.759843614366","11.7868220011393"
"tent12i_cap1","30000","1.49006097184287","1.00","1152.22814941406","11.5057566960653"
"tent12i_cap1","50000","2.10516645577219","1.00","2433.66183810764","11.9689442316691"
"tent12i_cap1","70000","2.58615968757206","1.00","3162.27001953125","11.555105527242"
"tent12i_cap1","90000","3.16252641810311","1.00","3599.07622612847","11.8411563237508"
"tent12i_cap1","110000","3.58454316722022","1.00","3874.24536132813","12.0064690907796"
"tent12i_cfix03","0","0.177313334825966","0.30","33.2530653211806","11.8636501630147"
"tent12i_cfix03","5000","0.293245581371917","0.30","73.4461398654514","10.7261796527439"
"tent12i_cfix03","10000","0.501158677703805","0.30","157.599450005425","11.4593364927504"
"tent12i_cfix03","20000","0.721555614802572","0.30","359.082719590929","11.5529610315959"
"tent12i_cfix03","30000","0.893973225686285","0.30","558.938462999132","11.8881814744737"
"tent12i_cfix03","50000","1.0804215176238","0.30","874.343566894531","11.5995230144925"
"tent12i_cfix03","70000","1.29287172622151","0.30","1100.01483154297","11.8947668075562"
"tent12i_cfix03","90000","1.38921506934696","0.30","1204.86231825087","11.7588964038425"
"tent12i_cfix03","110000","1.35737534364065","0.30","1228.00927734375","11.8777142630683"
"tent12i_cfix1","0","0.291593792455064","1.00","213.289126925998","10.6656392945184"
"tent12i_cfix1","5000","0.7241447928879","1.00","428.205410427517","11.1950362523397"
"tent12i_cfix1","10000","1.07111609776815","1.00","724.245449490017","11.9240668614705"
"tent12i_cfix1","20000","1.65822751190927","1.00","1365.27621799045","11.4310184054905"
"tent12i_cfix1","30000","1.99338280757268","1.00","1956.58840603299","11.5057013829549"
"tent12i_cfix1","50000","2.50056541098489","1.00","2983.13671875","11.839430809021"
"tent12i_cfix1","70000","2.98139946460724","1.00","3513.58653428819","11.8828464084201"
"tent12i_cfix1","90000","3.36566209793091","1.00","3852.25678168403","11.7629212273492"
"tent12i_cfix1","110000","3.5110510190328","1.00","3972.65096028646","11.8737597995334"
"tent12i_g099","0","0.147196475499206","0.15","1.18138786156972","12.5428020689223"
"tent12i_g099","5000","0.198085797826449","0.20","-2.92411405510373","10.9438277350532"
"tent12i_g099","10000","0.305552141368389","0.31","46.9129699601067","11.3383454216851"
"tent12i_g099","20000","0.506650106112162","0.51","222.186028374566","11.7934539582994"
"tent12i_g099","30000","0.751584536499447","0.75","461.989851209852","11.7825659645928"
"tent12i_g099","50000","1.0966808491283","1.10","916.762383355035","11.903613726298"
