run,task,group,seed,n_evals,first_success,early_until_online,early_tail_held_steps,auc_early,auc_early_boundary_linear,mean_deficit_pi_dp,min_observed,min_observed_online,dip_from_start,min_grid,no_dip_observed,no_dip_grid,recovery_pi_dp,at10k,at10k_actual_env,pre100k_success,pre100k_actual_env,endpoint,endpoint_actual_env,endpoint_target_env,at125k_interpolated,final_last3_unmatched,last_eval_env,last_train_env,t50_post_update,t80_post_update
can_fixalpha_03_s1,can,fixalpha_03,1,18,0.75,75984,864.0,0.6724668351231838,0.6723049917352704,5.802747668405753e-06,0.3999999999999999,30048,0.3500000000000001,0.3999999999999999,False,False,35056.0,0.52,34032,0.8,99136,0.74,129152.0,129152,0.7225671785028791,0.725,129152,148816,5008.0,70112.0
can_fixalpha_03_s2,can,fixalpha_03,2,18,0.52,75984,864.0,0.6879321962518425,0.6880057614281668,0.0,0.49,5008,0.030000000000000027,0.49,True,True,10016.0,0.73,34032,0.74,99136,0.655,129152.0,129152,0.6815642994241843,0.7366666666666667,129152,148816,10016.0,25040.0
can_fixalpha_03_s3,can,fixalpha_03,3,18,0.29,75984,864.0,0.6764329332491051,0.6764182202138401,0.021350529085336422,0.19,5008,0.09999999999999998,0.19,False,False,15024.0,0.32,34032,0.83,99136,0.78,129152.0,129152,0.7858109404990403,0.8083333333333332,129152,148816,15024.0,50080.0
can_fixalpha_03_s4,can,fixalpha_03,4,18,0.6100000000000001,75984,864.0,0.5990924405137924,0.5990679187883509,0.0008727010400204798,0.37,20032,0.2400000000000001,0.37,False,False,25040.0,0.55,34032,0.81,99136,0.78,129152.0,129152,0.7808301343570058,0.7916666666666666,129152,148816,5008.0,70112.0
can_fixalpha_03_s5,can,fixalpha_03,5,18,0.6799999999999999,75984,864.0,0.6464213518635502,0.6463821171028439,0.0003579848946199773,0.4,5008,0.2799999999999999,0.4,False,False,15024.0,0.4,34032,0.77,99136,0.74,129152.0,129152,0.7383397312859885,0.7466666666666667,129152,148816,15024.0,
can_fixalpha_1_s1,can,fixalpha_1,1,18,0.6799999999999999,75984,864.0,0.26596651926721415,0.26589785843597813,0.1563845388656644,0.01,20032,0.6699999999999999,0.01,False,False,,0.5700000000000001,34032,0.35,99136,0.185,129152.0,129152,0.2007725527831094,0.27166666666666667,129152,148816,10016.0,
can_fixalpha_1_s2,can,fixalpha_1,2,18,0.64,75984,864.0,0.2559759949463045,0.2560152297070108,0.19686497628776004,0.04,20032,0.6,0.04,False,False,,0.63,34032,0.08,99136,0.105,129152.0,129152,0.10749040307101727,0.10166666666666667,129152,148816,5008.0,5008.0
can_fixalpha_1_s3,can,fixalpha_1,3,18,0.31,75984,864.0,0.28496630869656764,0.28475051751268304,0.13600333029175737,0.04,20032,0.27,0.04,False,False,70112.0,0.55,34032,0.34,99136,0.1649999999999999,129152.0,129152,0.1575287907869481,0.2083333333333333,129152,148816,5008.0,
can_fixalpha_s1,can,fixalpha,1,16,0.7500000000000001,75984,864.0,0.09395451674036638,,0.3165985638769956,0.0,5008,0.7500000000000001,0.0,False,False,,0.08,34032,0.09,99136,,,129152,,0.10000000000000002,99136,99616,,
can_fixalpha_s2,can,fixalpha,2,18,0.53,75984,864.0,0.15032006738260686,0.1501778413750465,0.2561230363387344,0.01,5008,0.52,0.01,False,False,75120.0,0.02,34032,0.41,99136,0.375,129152.0,129152,0.3567370441458733,0.35000000000000003,129152,148816,,
can_fixalpha_s3,can,fixalpha,3,18,0.38,75984,864.0,0.19895556959359864,0.19878882186059685,0.20637776373973474,0.0,10016,0.38,0.0,False,False,,0.0,34032,0.34,99136,0.215,129152.0,129152,0.20752879078694816,0.2416666666666666,129152,148816,,
can_hardq_s1,can,hardq,1,31,0.72,75984,624.0,0.3447115182143609,,0.09051500053804629,0.11,35168,0.61,0.12649681528662415,False,False,47728.0,0.1699999999999999,34064,0.33,99376,,,129152,,0.39666666666666667,99376,99616,2512.0,
can_hardq_s2,can,hardq,2,31,0.55,75984,624.0,0.2573520741208675,,0.15793951566659473,0.02,35168,0.53,0.030254777070063688,False,False,55264.0,0.19,34064,0.32,99376,,,129152,,0.31,99376,99616,2512.0,
can_hardq_s3,can,hardq,3,31,0.37,75984,624.0,0.2907443672352074,,0.12250987972076072,0.0699999999999999,10048,0.3000000000000001,0.07165605095541391,False,False,42704.0,0.0699999999999999,34064,0.28,99376,,,129152,,0.3666666666666667,99376,99616,2512.0,
can_iql_linear_s1,can,iql_linear,1,20,0.7,75984,864.0,0.6490576963571278,0.6489890355258917,5.849571903010444e-05,0.39,35056,0.30999999999999994,0.39,False,False,40064.0,0.47,34032,0.7700000000000001,99136,0.605,129152.0,129152,0.6207725527831094,0.725,179168,199216,5008.0,20032.0
can_iql_prefill_s1,can,iql_prefill,1,20,0.77,75984,864.0,0.6267740576963571,0.6268132924570634,0.01298520962077501,0.22,10016,0.55,0.22,False,False,20032.0,0.22,34032,0.81,99136,0.8350000000000001,129152.0,129152,0.8374904030710173,0.8483333333333335,179168,199216,5008.0,45072.0
can_iql_prefill_s2,can,iql_prefill,2,20,0.56,75984,864.0,0.6014224047167824,0.601378265610988,0.04454912342538371,0.1199999999999999,15024,0.44000000000000017,0.1199999999999999,False,False,20032.0,0.18,34032,0.87,99136,0.8550000000000001,129152.0,129152,0.8500191938579655,0.8266666666666667,179168,199216,25040.0,30048.0
can_iql_prefill_s3,can,iql_prefill,3,20,0.32,75984,864.0,0.5739102969046115,0.5740034794612889,0.031198460333250248,0.15,5008,0.17,0.15,False,False,15024.0,0.2,34032,0.74,99136,0.8500000000000001,129152.0,129152,0.8475095969289828,0.8733333333333334,179168,199216,30048.0,30048.0
can_iql_s1,can,iql,1,24,0.62,75984,864.0,0.5057622657401558,0.505698509254008,0.004700265604792881,0.29,5008,0.33,0.29,False,False,10016.0,0.42,34032,0.63,99136,0.5850000000000001,129152.0,129152,0.581679462571977,0.77,279200,299056,20032.0,
can_iql_s2,can,iql,2,24,0.53,75984,864.0,0.5178858707096231,0.5178466359489168,0.008538436963381519,0.25,10016,0.28,0.25,False,False,20032.0,0.25,34032,0.45,99136,0.47,129152.0,129152,0.46003838771593086,0.6699999999999999,279200,299440,5008.0,
can_iql_s3,can,iql,3,24,0.46,75984,864.0,0.49960307433143825,0.4996226917117914,0.002252680008406837,0.36,60096,0.10000000000000003,0.36,False,False,65104.0,0.56,34032,0.61,99136,0.6100000000000001,129152.0,129152,0.6133205374280231,0.7116666666666666,279200,299440,5008.0,
can_iql_s4,can,iql,4,18,0.5700000000000001,75984,864.0,0.43087492103600755,0.43097791228286164,0.023511259440378126,0.06,10016,0.51,0.06,False,False,20032.0,0.06,34032,0.42,99136,0.5650000000000001,129152.0,129152,0.558358925143954,0.5033333333333334,129152,148816,30048.0,
can_iql_s5,can,iql,5,18,0.6599999999999999,75984,864.0,0.5151937249947357,0.5151741076143825,0.006865088562978651,0.26,15024,0.3999999999999999,0.26,False,False,20032.0,0.4,34032,0.5900000000000001,99136,0.5750000000000001,129152.0,129152,0.5741698656429943,0.5783333333333335,129152,148816,20032.0,
can_mix_fixed_s1,can,mix_fixed,1,20,0.71,75984,864.0,0.68172878500737,0.681591463344898,0.011959002686084493,0.21,10016,0.5,0.21,False,False,20032.0,0.21,34032,0.89,99136,0.845,129152.0,129152,0.8292274472168906,0.8816666666666667,179168,199216,5008.0,5008.0
can_mix_fixed_s2,can,mix_fixed,2,20,0.52,75984,864.0,0.6417961676142346,0.6417373154731751,0.011185734829266105,0.19,10016,0.33,0.19,False,False,20032.0,0.19,34032,0.74,99136,0.8200000000000001,129152.0,129152,0.7967562380038388,0.8183333333333334,179168,199216,5008.0,55088.0
can_mix_fixed_s3,can,mix_fixed,3,20,0.35,75984,864.0,0.6780669614655718,0.6783219874101627,0.00026552305871719445,0.48,10016,-0.13,0.48,True,True,15024.0,0.48,34032,0.51,99136,0.8400000000000001,129152.0,129152,0.8283781190019195,0.8516666666666667,179168,199216,5008.0,40064.0
can_mix_linear_s1,can,mix_linear,1,20,0.73,75984,864.0,0.6228427037271005,0.6228770341427184,0.021995161149079605,0.0,10016,0.73,0.0,False,False,20032.0,0.0,34032,0.87,99136,0.6000000000000001,129152.0,129152,0.6506381957773513,0.7883333333333334,179168,199216,5008.0,70112.0
can_mix_linear_s2,can,mix_linear,2,20,0.49,75984,864.0,0.6509328279637818,0.6510358192106359,0.018123568562273824,0.05,10016,0.44,0.05,False,False,15024.0,0.05,34032,0.79,99136,0.8250000000000001,129152.0,129152,0.8366218809980807,0.8083333333333335,179168,199216,5008.0,35056.0
can_mix_linear_s3,can,mix_linear,3,20,0.24,75984,864.0,0.6498978732364709,0.6499763427578834,0.026656098550573836,0.01,10016,0.22999999999999998,0.01,False,False,20032.0,0.01,34032,0.67,99136,0.8150000000000001,129152.0,129152,0.8042082533589252,0.8183333333333334,179168,199216,5008.0,30048.0
can_mix_prefill_s1,can,mix_prefill,1,20,0.8300000000000001,75984,864.0,0.6839102969046115,0.6837680708970512,0.024313655597702388,0.07,10016,0.76,0.07,False,False,15024.0,0.07,34032,0.85,99136,0.8999999999999999,129152.0,129152,0.8676247600767754,0.9249999999999999,179168,199216,5008.0,30048.0
can_mix_prefill_s2,can,mix_prefill,2,20,0.4599999999999999,75984,864.0,0.6471151821436091,0.647061234347638,0.02129946373161857,0.08,10016,0.3799999999999999,0.08,False,False,20032.0,0.08,34032,0.86,99136,0.76,129152.0,129152,0.7674712092130518,0.8566666666666666,179168,199216,5008.0,35056.0
can_mix_prefill_s3,can,mix_prefill,3,20,0.2799999999999999,75984,864.0,0.714102969046115,0.7141863429126158,0.027980785845774788,0.09,15024,0.18999999999999992,0.09,False,False,20032.0,0.13,34032,0.81,99136,0.915,129152.0,129152,0.911679462571977,0.8733333333333334,179168,199216,5008.0,5008.0
can_rs_025_s1,can,rs_025,1,31,0.71,75984,624.0,0.3178427037271005,,0.09967033249331282,0.08,10048,0.63,0.08050955414012739,False,False,15072.0,0.08,34064,0.48,99376,,,129152,,0.36000000000000004,99376,99616,,
can_rs_025_s2,can,rs_025,2,31,0.52,75984,624.0,0.30305853863971355,,0.12555929968603943,0.0,12560,0.52,0.10445859872611465,False,False,27632.0,0.15,34064,0.29,99376,,,129152,,0.3,99376,99616,2512.0,
can_rs_025_s3,can,rs_025,3,31,0.37,75984,624.0,0.33470941250789643,,0.10132554294667973,0.01,10048,0.36,0.011528662420382155,False,False,37680.0,0.01,34064,0.36,99376,,,129152,,0.3466666666666667,99376,99616,2512.0,
can_rs_2_s1,can,rs_2,1,31,0.7100000000000001,75984,624.0,0.4347094125078963,,0.03356627469370471,0.12,7536,0.5900000000000001,0.13974522292993632,False,False,17584.0,0.14,34064,0.4599999999999999,99376,,,129152,,0.44999999999999996,99376,99616,2512.0,
can_rs_2_s2,can,rs_2,2,31,0.56,75984,624.0,0.4506496104443041,,0.02561882278623801,0.11,5024,0.45000000000000007,0.11140127388535032,False,False,7536.0,0.29,34064,0.67,99376,,,129152,,0.6366666666666667,99376,99616,12560.0,
can_rs_2_s3,can,rs_2,3,31,0.36,75984,624.0,0.4245409559907348,,0.031825114919580226,0.01,7536,0.35,0.12917197452229298,False,False,12560.0,0.27,34064,0.51,99376,,,129152,,0.49,99376,99616,2512.0,
can_td_s1,can,td,1,18,0.74,75984,864.0,0.5293198568119604,0.5291629177691352,0.006188543036944817,0.31,40064,0.43,0.31,False,False,45072.0,0.4499999999999999,34032,0.76,99136,0.54,129152.0,129152,0.5499616122840691,0.6333333333333333,129152,148816,15024.0,
can_td_s2,can,td,2,18,0.6100000000000001,75984,864.0,0.4765561170772794,0.47665910832413355,0.0053130690085759396,0.35,40064,0.2600000000000001,0.35,False,False,45072.0,0.5700000000000001,34032,0.38,99136,0.6100000000000001,129152.0,129152,0.5892466410748561,0.4916666666666667,129152,148816,5008.0,
can_td_s3,can,td,3,18,0.35,75984,864.0,0.4135460096862497,0.41340868802377767,0.020977922578684995,0.31,25040,0.03999999999999998,0.31,False,False,35056.0,0.42,34032,0.49,99136,0.525,129152.0,129152,0.4959452975047985,0.455,129152,148816,40064.0,
can_tent12_s1,can,tent12,1,18,0.72,75984,864.0,0.6033533375447462,0.6032258245724508,0.008918229703506609,0.22,10016,0.5,0.22,False,False,15024.0,0.22,34032,0.75,99136,0.6799999999999999,129152.0,129152,0.6700383877159308,0.6833333333333332,129152,148816,5008.0,
can_tent12_s2,can,tent12,2,18,0.47,75984,864.0,0.5236133922931144,0.5235741575324081,0.004086733833874991,0.33,10016,0.13999999999999996,0.33,False,False,15024.0,0.33,34032,0.49,99136,0.635,129152.0,129152,0.6042850287907869,0.525,129152,148816,15024.0,
can_tent12_s3,can,tent12,3,18,0.36,75984,864.0,0.5735133712360496,0.5731553540446047,0.0006824552017448927,0.4,70112,-0.040000000000000036,0.4,False,False,75120.0,0.44,34032,0.8500000000000001,99136,0.77,129152.0,129152,0.7226823416506718,0.7016666666666667,129152,148816,15024.0,75120.0
can_tent12i_s1,can,tent12i,1,18,0.69,75984,864.0,0.524785217940619,0.5247950266307957,0.018970732446732,0.07,5008,0.6199999999999999,0.07,False,False,10016.0,0.48,34032,0.68,99136,0.6799999999999999,129152.0,129152,0.6816602687140114,0.6833333333333332,129152,148816,25040.0,
can_tent12i_s2,can,tent12i,2,18,0.6200000000000001,75984,864.0,0.5615687513160666,0.561421620963418,0.0007423913546451657,0.3399999999999999,10016,0.2800000000000002,0.3399999999999999,False,False,15024.0,0.3399999999999999,34032,0.64,99136,0.6050000000000001,129152.0,129152,0.5859069097888676,0.5783333333333333,129152,148816,5008.0,
can_tent12i_s3,can,tent12i,3,18,0.38,75984,864.0,0.6962728995578016,0.6963366560439493,5.287335345452862e-05,0.56,10016,-0.18000000000000005,0.56,True,True,15024.0,0.56,34032,0.7200000000000001,99136,0.805,129152.0,129152,0.801679462571977,0.77,129152,148816,5008.0,20032.0
can_tent6_s1,can,tent6,1,16,0.63,75984,864.0,0.5458180669614656,,0.0061556217245126435,0.28,20032,0.35,0.28,False,False,25040.0,0.4599999999999999,34032,0.53,99136,,,129152,,0.5633333333333334,99136,99616,15024.0,
can_tent6_s2,can,tent6,2,16,0.49,75984,864.0,0.5691945672773217,,0.013654830350729789,0.13,5008,0.36,0.13,False,False,10016.0,0.64,34032,0.76,99136,,,129152,,0.6833333333333332,99136,99616,10016.0,
can_tent6_s3,can,tent6,3,16,0.3,75984,864.0,0.402910086333965,,0.04031172689624689,0.2299999999999999,5008,0.07000000000000009,0.2299999999999999,False,False,15024.0,0.24,34032,0.54,99136,,,129152,,0.54,99136,99616,15024.0,
can_warmup_s1,can,warmup,1,24,0.03,75984,864.0,0.4798747104653612,0.4799041365358909,0.01779375881383309,0.24,45072,-0.21,0.24,False,False,50080.0,0.53,34032,0.4399999999999999,99136,0.555,129152.0,129152,0.5408877159309021,0.8116666666666669,279200,299248,5008.0,
can_warmup_s2,can,warmup,2,24,0.01,75984,864.0,0.48998841861444514,0.49005217510059296,0.013032834902964736,0.33,40064,-0.32,0.33,False,False,45072.0,0.53,34032,0.4599999999999999,99136,0.515,129152.0,129152,0.5166602687140115,0.8466666666666667,279200,299248,5008.0,
can_warmup_s3,can,warmup,3,24,0.01,75984,864.0,0.4731259212465782,0.4729935039291945,0.021603677643194895,0.29,10016,-0.27999999999999997,0.29,False,False,15024.0,0.29,34032,0.6,99136,0.555,129152.0,129152,0.5400575815738964,0.7399999999999999,279200,299440,15024.0,
can_warmupc_s1,can,warmupc,1,18,0.69,75984,864.0,0.5491019161928828,0.5491166292281476,1.3647487885018347e-05,0.4,5008,0.2899999999999999,0.4,False,False,10016.0,0.49,34032,0.5,99136,0.525,129152.0,129152,0.5233397312859885,0.5133333333333333,129152,148816,15024.0,
can_warmupc_s2,can,warmupc,2,18,0.52,75984,864.0,0.46861444514634665,0.4686389668717881,0.01658898719154915,0.26,5008,0.26,0.26,False,False,10016.0,0.59,34032,0.5800000000000001,99136,0.615,129152.0,129152,0.6133397312859885,0.6,129152,148816,10016.0,
can_warmupc_s3,can,warmupc,3,18,0.3,75984,864.0,0.4993756580332702,0.49940017975871165,0.014118991516050658,0.31,25040,-0.010000000000000009,0.31,False,False,35056.0,0.55,34032,0.59,99136,0.685,129152.0,129152,0.6733781190019195,0.63,129152,148816,10016.0,
square_baseline_s1,square,baseline,1,16,0.5700000000000001,67984,2880.0,0.4024499882325253,0.39977016204526983,0.10154755198566649,0.2,10016,0.37000000000000005,0.2,False,False,50080.0,0.2,42032,0.51,97120,0.355,127136.0,127136,0.34944817658349325,0.385,127136,148816,50080.0,
square_baseline_s2,square,baseline,2,16,0.5700000000000001,67984,2880.0,0.42465991998117203,0.4236854377312609,0.08755793097515896,0.19,20032,0.38000000000000006,0.19,False,False,35056.0,0.24,42032,0.53,97120,0.625,127136.0,127136,0.6100527831094049,0.535,127136,148816,35056.0,
square_baseline_s3,square,baseline,3,16,0.45,67984,2880.0,0.3857837138150153,0.3859664292368736,0.11320437851413116,0.19,10016,0.26,0.19,False,False,30048.0,0.19,42032,0.56,97120,0.435,127136.0,127136,0.446957773512476,0.5233333333333333,127136,148816,30048.0,
square_baseline_s4,square,baseline,4,16,0.51,67984,2880.0,0.4060779006825136,0.4047379875888858,0.09371621420604632,0.24,10016,0.27,0.24,False,False,30048.0,0.24,42032,0.5,97120,0.34,127136.0,127136,0.3442706333973129,0.41,127136,148816,30048.0,
square_baseline_s5,square,baseline,5,16,0.45,67984,2880.0,0.38574605789597555,0.3837361882555339,0.10849340984059747,0.26,35056,0.19,0.26,False,False,50080.0,0.3,42032,0.42,97120,0.28,127136.0,127136,0.2778646833013436,0.31833333333333336,127136,148816,50080.0,
square_calql_s1,square,calql,1,16,0.5700000000000001,67984,2880.0,0.40760649564603435,0.4078501162085121,0.08940296428291257,0.24,25040,0.33000000000000007,0.24,False,False,60096.0,0.38,42032,0.51,97120,0.51,127136.0,127136,0.5117082533589251,0.5166666666666667,127136,149600,15024.0,
square_calql_s2,square,calql,2,16,0.48,67984,2880.0,0.5052671216756884,0.504109924003919,0.018142580850022634,0.41,10016,0.07,0.41,False,False,20032.0,0.41,42032,0.52,97120,0.3299999999999999,127136.0,127136,0.33811420345489435,0.425,127136,149600,20032.0,
square_calql_s3,square,calql,3,16,0.43,67984,2880.0,0.45917156978112494,0.4591106646405055,0.03826794988176495,0.39,45072,0.03999999999999998,0.39,False,False,65104.0,0.45,42032,0.51,97120,0.405,127136.0,127136,0.4135412667946258,0.4733333333333334,127136,149600,15024.0,
square_cql_s1,square,cql,1,16,0.4299999999999999,67984,2880.0,0.4437020475405978,0.4426666601500672,0.05778550966002701,0.35,50080,0.0799999999999999,0.35,False,False,60096.0,0.36,42032,0.51,97120,0.305,127136.0,127136,0.31524952015355084,0.41333333333333333,127136,149600,15024.0,
square_cql_s2,square,cql,2,16,0.48,67984,2880.0,0.481325017651212,0.47943695829200933,0.04614529902460712,0.25,60096,0.22999999999999998,0.25,False,False,,0.4599999999999999,42032,0.32,97120,0.215,127136.0,127136,0.21072936660268715,0.2333333333333333,127136,149600,5008.0,
