task,group,n,seeds,endpoint_target_env,early_until_online,first_success,first_success_se,first_success_n,auc_early,auc_early_se,auc_early_n,auc_early_boundary_linear,auc_early_boundary_linear_se,auc_early_boundary_linear_n,mean_deficit_pi_dp,mean_deficit_pi_dp_se,mean_deficit_pi_dp_n,min_observed,min_observed_se,min_observed_n,dip_from_start,dip_from_start_se,dip_from_start_n,min_grid,min_grid_se,min_grid_n,at10k,at10k_se,at10k_n,pre100k_success,pre100k_success_se,pre100k_success_n,endpoint,endpoint_se,endpoint_n,at125k_interpolated,at125k_interpolated_se,at125k_interpolated_n,recovery_pi_dp,recovery_pi_dp_se,recovery_pi_dp_n,t50_post_update,t50_post_update_se,t50_post_update_n,t80_post_update,t80_post_update_se,t80_post_update_n,min_mean_curve,min_mean_curve_online,min_mean_curve_se_at_selected_point,no_dip_observed_n,no_dip_grid_n
can,tent6,3,"1,2,3",129152,75984,0.4733333333333334,0.09562658858520703,3,0.5059742401909174,0.05197204392568974,3,,,0,0.020040726323829774,0.010364114862673732,3,0.2133333333333333,0.044095855184409845,3,0.26,0.09504384952922167,3,0.2133333333333333,0.044095855184409845,3,0.4466666666666666,0.1156623438193165,3,0.61,0.07505553499465134,3,,,0,,,0,16693.333333333332,4416.64085527049,3,13354.666666666666,1669.3333333333333,3,,,0,0.2233333333333333,5008,0.05206833117271103,0,0
can,warmup,3,"1,2,3",129152,75984,0.016666666666666666,0.006666666666666666,3,0.4809963501087948,0.004899983366897665,3,0.4809832718552261,0.004953886195421156,3,0.017476757119997573,0.0024792609029614687,3,0.2866666666666667,0.026034165586355525,3,-0.27,0.03214550253664319,3,0.2866666666666667,0.026034165586355525,3,0.45,0.08000000000000002,3,0.49999999999999994,0.0503322295684717,3,0.5416666666666666,0.013333333333333345,3,0.5325351887396034,0.007941076650909769,3,36725.333333333336,10946.550709901474,3,8346.666666666666,3338.666666666667,3,,,0,0.41333333333333333,45072,0.09820613241770826,0,0
can,warmupc,3,"1,2,3",129152,75984,0.5033333333333333,0.11289129481250733,3,0.5056973397908332,0.023448745482077,3,0.5057185919528825,0.023445719467724013,3,0.010240542065161609,0.005162920658577285,3,0.3233333333333333,0.04096068575814836,3,0.17999999999999997,0.09539392014169457,3,0.3233333333333333,0.04096068575814836,3,0.5433333333333333,0.029059326290271154,3,0.5566666666666666,0.02848001248439178,3,0.6083333333333334,0.04630814663149936,3,0.6033525271912988,0.04359926463952018,3,18362.666666666668,8346.666666666668,3,11685.333333333334,1669.3333333333333,3,,,0,0.3333333333333333,5008,0.04055175020198814,0,0
square,baseline,5,"1,2,3,4,5",127136,67984,0.51,0.026832815729997486,5,0.4009435161214404,0.007252177319829533,5,0.39957924097156483,0.00722519481544397,5,0.10090389710432009,0.004685586598604056,5,0.21600000000000003,0.014352700094407325,5,0.29400000000000004,0.03586084215408222,5,0.21600000000000003,0.014352700094407325,5,0.23399999999999999,0.019390719429665314,5,0.504,0.023366642891095853,5,0.40700000000000003,0.05984563476144271,5,0.4057188099808061,0.057767622845770764,5,39062.4,4589.907816067768,5,39062.4,4589.907816067768,5,,,0,0.23399999999999999,10016,0.019390719429665314,0,0
square,calql,3,"1,2,3",127136,67984,0.49333333333333335,0.04096068575814838,3,0.45734839570094926,0.028206928474643456,3,0.4570235682843122,0.027807400859017103,3,0.04860449833823338,0.02121040418635246,3,0.3466666666666667,0.053644923131436935,3,0.1466666666666667,0.09207484877955426,3,0.3466666666666667,0.053644923131436935,3,0.41333333333333333,0.02027587510099407,3,0.5133333333333333,0.003333333333333336,3,0.415,0.05220153254455278,3,0.4211212412028151,0.05025539954254463,3,48410.666666666664,14262.7902521834,3,16693.333333333332,1669.3333333333335,3,,,0,0.39666666666666667,25040,0.07838650677536566,0,0
square,cql,3,"1,2,3",127136,67984,0.45999999999999996,0.0152752523165195,3,0.4648187808896211,0.011102769610523417,3,0.4637021866449313,0.010940554645127658,3,0.05035691550094017,0.003725378502816306,3,0.3,0.028867513459481284,3,0.15999999999999995,0.04358898943540676,3,0.3,0.028867513459481284,3,0.3733333333333333,0.04666666666666664,3,0.44333333333333336,0.061734197258173786,3,0.33166666666666667,0.07623064417352848,3,0.3333749200255918,0.07657993991738274,3,47576.0,12519.999999999998,2,18362.666666666668,8833.28171054098,3,,,0,0.3733333333333333,10016,0.04666666666666664,0,0
square,fixalpha_03,5,"1,2,3,4,5",127136,67984,0.47000000000000003,0.015491933384829676,5,0.41408096022593555,0.018059257513865314,5,0.41404441714156387,0.017735733317218786,5,0.08529933254421511,0.01618095553855978,5,0.27,0.01,5,0.2,0.018973665961010265,5,0.27,0.01,5,0.358,0.04328972164382673,5,0.40199999999999997,0.02745906043549196,5,0.364,0.08946228255527579,5,0.366989443378119,0.08070860099836444,5,32552.0,6624.961282905735,4,24038.4,6975.336849213807,5,,,0,0.332,5008,0.018275666882497068,0,0
square,iql,3,"1,2,3",127136,67984,0.47333333333333333,0.01855921454276674,3,0.4365254569702675,0.004622090818836817,3,0.43705330152230265,0.005158536063158553,3,0.06029540586553966,0.004163046564113966,3,0.2866666666666666,0.006666666666666673,3,0.18666666666666668,0.012018504251546632,3,0.2866666666666666,0.006666666666666673,3,0.5033333333333333,0.017638342073763955,3,0.4333333333333333,0.008819171036881984,3,0.5616666666666666,0.014529663145135593,3,0.5544065898912348,0.011526397249005916,3,40064.0,5782.740296203292,3,16693.333333333332,6677.333333333333,3,,,0,0.36999999999999994,30048,0.09000000000000002,0,0
square,mix_prefill,3,"1,2,3",127136,67984,0.5133333333333333,0.026666666666666675,3,0.4323519259433592,0.024253519404661875,3,0.4330827876307925,0.02435688967674062,3,0.1058623271744043,0.009536295655280193,3,0.03,0.015275252316519466,3,0.48333333333333334,0.02027587510099407,3,0.03,0.015275252316519466,3,0.03,0.015275252316519466,3,0.5666666666666668,0.03333333333333335,3,0.6216666666666667,0.02455153310442703,3,0.6220937300063979,0.023120708961951456,3,33386.666666666664,4416.64085527049,3,33386.666666666664,4416.64085527049,3,,,0,0.03,10016,0.015275252316519466,0,0
square,td,3,"1,2,3",127136,67984,0.4666666666666666,0.035276684147527874,3,0.4924676394445752,0.019747021569932428,3,0.49072169208015115,0.01943156952777804,3,0.030069587569355207,0.014168245221429655,3,0.3333333333333333,0.041766546953805564,3,0.13333333333333333,0.07310570733153769,3,0.3333333333333333,0.041766546953805564,3,0.4566666666666666,0.04910306620885413,3,0.47000000000000003,0.06557438524302,3,0.4216666666666667,0.06359594676112972,3,0.4135524632117722,0.06168932757472621,3,30048.0,15024.0,2,8346.666666666666,3338.6666666666665,3,,,0,0.43999999999999995,40064,0.03785938897200183,0,0
square,tent12,5,"1,2,3,4,5",127136,67984,0.466,0.02657066051117285,5,0.40439750529536356,0.02183931802418782,5,0.40415388473288577,0.02192282803997443,5,0.09705344421493446,0.017516196511384998,5,0.27399999999999997,0.027129319932501082,5,0.192,0.04115823125451336,5,0.27399999999999997,0.027129319932501082,5,0.404,0.01913112646970899,5,0.356,0.0354400902933387,5,0.369,0.024464259645450143,5,0.3661813819577735,0.020805014951394217,5,22536.0,7512.0,2,22035.2,2553.5889724072667,5,,,0,0.32599999999999996,50080,0.05045790324617145,0,0
square,tent12_hq,3,"1,2,3",127136,67984,0.52,0.010000000000000009,3,0.3779375539342591,0.01437577405441838,3,0.3783029847779757,0.013753421341008171,3,0.11811010006515206,0.012716126622419268,3,0.26,0.020816659994661323,3,0.26,0.02516611478423585,3,0.26,0.020816659994661323,3,0.32999999999999996,0.051961524227066284,3,0.4066666666666667,0.08412952976082644,3,0.49000000000000005,0.022546248764114474,3,0.485444657709533,0.023462470218297175,3,65088.0,30031.999999999996,2,65088.0,30031.999999999996,2,,,0,0.2866666666666667,15024,0.03333333333333334,0,0
square,tent6,3,"1,2,3",127136,67984,0.4966666666666666,0.04409585518440984,3,0.37789362202871263,0.009667732991657196,3,0.37858388028906637,0.009691716913967958,3,0.12051664373389186,0.007838621036209217,3,0.21999999999999997,0.025166114784235864,3,0.27666666666666667,0.027284509239574813,3,0.21999999999999997,0.025166114784235864,3,0.27666666666666667,0.013333333333333327,3,0.24333333333333332,0.017638342073763948,3,0.2916666666666667,0.05494947173944846,3,0.2923784388995521,0.05133273016362846,3,,,0,22536.0,2504.0,2,,,0,0.24333333333333332,65104,0.017638342073763948,0,0
