bin_online,ent_coef,logp_mean,qw_mean,w_absmean,mu_absmean,w_frac_sat,log_std_mean,offline_p,run,task,group,seed,entropy_estimate,ratio_ge_gq,gq_norm
65000,0.04350396338850258,0.16497209668159485,-36.41712665557861,0.6329221129417419,0.8253921568393707,0.2452218271791935,-0.37055370956659317,0.7293937644995804,can_mix_prefill_s3,can,mix_prefill,3,-0.16497209668159485,,
70000,0.042489275801926775,0.8573133051395416,-34.38626956939697,0.6361993700265884,0.8402357548475266,0.2514648512005806,-0.3689475581049919,0.7192165753454234,can_mix_prefill_s3,can,mix_prefill,3,-0.8573133051395416,,
75000,0.04219045159406955,0.2909889370203019,-34.00879764556885,0.6326897889375687,0.8214916586875916,0.2446986734867096,-0.3720641508698463,0.7093194856483516,can_mix_prefill_s3,can,mix_prefill,3,-0.2909889370203019,,
80000,0.041384395770728555,0.011620189994573593,-31.97320032119751,0.6317693740129471,0.8178402036428452,0.245500847697258,-0.3697654902935028,0.6996910887467526,can_mix_prefill_s3,can,mix_prefill,3,-0.011620189994573593,,
85000,0.040121092135086626,-0.4423825442790985,-31.034623622894287,0.6286257058382034,0.8045466542243958,0.2429896928369999,-0.36549532413482666,0.6903205890532564,can_mix_prefill_s3,can,mix_prefill,3,0.4423825442790985,,
90000,0.04136189177632326,-0.45377078652381897,-31.032682037353517,0.6282758474349975,0.8060832023620605,0.2399553656578064,-0.3687359273433685,0.6800798835063337,can_mix_prefill_s3,can,mix_prefill,3,0.45377078652381897,,
95000,0.0401478430256247,0.1805603727698326,-29.07727861404419,0.6344634592533112,0.8205819129943848,0.2438616156578064,-0.3665365949273109,0.6701278003611019,can_mix_prefill_s3,can,mix_prefill,3,-0.1805603727698326,,
100000,0.0391684472095221,0.883627537637949,-32.40247392654419,0.640064924955368,0.8427950441837311,0.2513253502547741,-0.37278690934181213,0.6615275587780353,can_mix_prefill_s3,can,mix_prefill,3,-0.883627537637949,,
105000,0.0385203217156231,0.009444199502468109,-29.7627272605896,0.6292027831077576,0.8186121731996536,0.2420479990541935,-0.3766969293355942,0.6531452692418841,can_mix_prefill_s3,can,mix_prefill,3,-0.009444199502468109,,
110000,0.0375837858766317,0.32114531099796295,-28.281195163726807,0.6315037459135056,0.8260171562433243,0.2451171986758709,-0.3705177381634712,0.6449727501321119,can_mix_prefill_s3,can,mix_prefill,3,-0.32114531099796295,,
115000,0.037130887340754225,-0.3968568369746208,-27.698132514953613,0.6281304061412811,0.8094057440757751,0.2409668080508709,-0.37130598723888397,0.637002224274678,can_mix_prefill_s3,can,mix_prefill,3,0.3968568369746208,,
120000,0.036968855187296826,-0.17649842798709875,-29.11200065612793,0.6313944339752198,0.810784637928009,0.2433314859867096,-0.36820304989814756,0.6282720061682567,can_mix_prefill_s3,can,mix_prefill,3,0.17649842798709875,,
125000,0.03561358735896645,0.9566147476434708,-29.958438396453857,0.6372090727090836,0.8315374702215195,0.2547084428369999,-0.3782843276858329,0.6197693385250503,can_mix_prefill_s3,can,mix_prefill,3,-0.9566147476434708,,
130000,0.03571070721372957,0.003809034824371338,-28.369624137878418,0.6309238821268082,0.8083861619234085,0.2488839365541935,-0.3683775812387466,0.6124060164713749,can_mix_prefill_s3,can,mix_prefill,3,-0.003809034824371338,,
135000,0.035566020244732446,-0.2029680237174034,-29.525193214416504,0.6285441517829895,0.811968132853508,0.2385254018008709,-0.36861810088157654,0.6052156055065047,can_mix_prefill_s3,can,mix_prefill,3,0.2029680237174034,,
