task,treatment,comparator,metric,n,seeds,delta,delta_se,positive_n,negative_n,per_seed_deltas
can,calql,baseline,auc_early,3,"1,2,3",-0.0006513651996911488,0.034114201408557754,1,2,"{""1"": -0.0361360286376079, ""2"": -0.033376500315855984, ""3"": 0.06755843335439043}"
can,calql,baseline,endpoint,3,"1,2,3",0.036666666666666646,0.013642254619787398,3,0,"{""1"": 0.010000000000000009, ""2"": 0.05499999999999994, ""3"": 0.044999999999999984}"
can,calql,baseline,at10k,3,"1,2,3",0.04333333333333336,0.04255715111601238,2,1,"{""1"": -0.04000000000000001, ""2"": 0.10000000000000009, ""3"": 0.07}"
can,calql,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.00022701495388401105,0.01320500897342963,2,1,"{""1"": 0.01632951312924107, ""2"": 0.00931403129815317, ""3"": -0.026324589289046272}"
can,calql_t12i,baseline,auc_early,3,"1,2,3",0.183358952761985,0.06504175502034672,3,0,"{""1"": 0.12794167193093292, ""2"": 0.10914613602863765, ""3"": 0.31298905032638435}"
can,calql_t12i,baseline,endpoint,3,"1,2,3",0.2183333333333333,0.05775907817054484,3,0,"{""1"": 0.21499999999999997, ""2"": 0.12, ""3"": 0.31999999999999995}"
can,calql_t12i,baseline,at10k,3,"1,2,3",0.21333333333333335,0.12784539273843407,2,1,"{""1"": 0.31000000000000005, ""2"": -0.040000000000000036, ""3"": 0.37}"
can,calql_t12i,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.027716192343978485,0.011191659570444686,0,3,"{""1"": -0.02350504730246196, ""2"": -0.010783397684181014, ""3"": -0.04886013204529247}"
can,cql,baseline,auc_early,3,"1,2,3",0.04489752228539342,0.011368983776616865,3,0,"{""1"": 0.05218151189724152, ""2"": 0.022601600336913052, ""3"": 0.05990945462202568}"
can,cql,baseline,endpoint,3,"1,2,3",0.10166666666666668,0.06166666666666668,2,1,"{""1"": 0.14500000000000002, ""2"": -0.020000000000000018, ""3"": 0.18000000000000005}"
can,cql,baseline,at10k,3,"1,2,3",0.04999999999999999,0.055677643628300216,2,1,"{""1"": -0.020000000000000018, ""2"": 0.010000000000000009, ""3"": 0.15999999999999998}"
can,cql,baseline,mean_deficit_pi_dp,3,"1,2,3",-0.009727025494322005,0.003953477837493826,0,3,"{""1"": -0.005072989740521661, ""2"": -0.00651825757005306, ""3"": -0.017589829172391297}"
can,fixalpha_003,baseline,auc_early,3,"1,2,3",-0.19781392573875203,0.032930982914979555,0,3,"{""1"": -0.23559065066329754, ""2"": -0.22564855759107177, ""3"": -0.13220256896188678}"
can,fixalpha_003,baseline,endpoint,3,"1,2,3",-0.06666666666666667,0.11938499812697483,1,2,"{""1"": -0.11499999999999999, ""2"": -0.24500000000000005, ""3"": 0.16000000000000003}"
can,fixalpha_003,baseline,at10k,3,"1,2,3",-0.20666666666666667,0.16505891204186598,1,2,"{""1"": -0.14, ""2"": -0.52, ""3"": 0.04000000000000001}"
can,fixalpha_003,baseline,mean_deficit_pi_dp,3,"1,2,3",0.14393327350927457,0.021742867697434245,3,0,"{""1"": 0.18571510077818681, ""2"": 0.13348104128951221, ""3"": 0.11260367846012465}"
can,fixalpha_01,baseline,auc_early,3,"1,2,3",0.06885274092791466,0.011158258071823048,3,0,"{""1"": 0.08422825858075383, ""2"": 0.04715729627289955, ""3"": 0.07517266793009059}"
can,fixalpha_01,baseline,endpoint,3,"1,2,3",0.1516666666666667,0.08623288880184352,3,0,"{""1"": 0.10000000000000009, ""2"": 0.03500000000000003, ""3"": 0.31999999999999995}"
can,fixalpha_01,baseline,at10k,3,"1,2,3",-0.1633333333333334,0.15919938581679405,1,2,"{""1"": -0.14, ""2"": -0.45, ""3"": 0.0999999999999999}"
can,fixalpha_01,baseline,mean_deficit_pi_dp,3,"1,2,3",0.006541184024630876,0.0036030031695418177,3,0,"{""1"": 0.0045028964944939485, ""2"": 0.01354605527076222, ""3"": 0.001574600308636459}"
can,fixalpha_03,baseline,auc_early,5,"1,2,3,4,5",0.24725500105285322,0.029315228136985616,5,0,"{""1"": 0.2401484523057486, ""2"": 0.19971467677405774, ""3"": 0.3010696988839756, ""4"": 0.17027374184038746, ""5"": 0.32506843546009684}"
can,fixalpha_03,baseline,endpoint,5,"1,2,3,4,5",0.20700000000000002,0.06645675285477014,5,0,"{""1"": 0.21999999999999997, ""2"": 0.125, ""3"": 0.41000000000000003, ""4"": 0.265, ""5"": 0.015000000000000013}"
can,fixalpha_03,baseline,at10k,5,"1,2,3,4,5",0.22400000000000003,0.09558242516278816,4,1,"{""1"": 0.26, ""2"": 0.20999999999999996, ""3"": 0.19, ""4"": 0.53, ""5"": -0.06999999999999995}"
can,fixalpha_03,baseline,mean_deficit_pi_dp,5,"1,2,3,4,5",-0.04338110700673309,0.018111130529298705,0,5,"{""1"": -0.026540773304629933, ""2"": -0.010783397684181014, ""3"": -0.029358391844499832, ""4"": -0.03635724095618291, ""5"": -0.11386573124417175}"
