task,group,bin_online,ent_coef_mean,ent_coef_sem,ent_coef_count,logp_mean_mean,logp_mean_sem,logp_mean_count,qw_mean_mean,qw_mean_sem,qw_mean_count,w_absmean_mean,w_absmean_sem,w_absmean_count,mu_absmean_mean,mu_absmean_sem,mu_absmean_count,w_frac_sat_mean,w_frac_sat_sem,w_frac_sat_count,log_std_mean_mean,log_std_mean_sem,log_std_mean_count,offline_p_mean,offline_p_sem,offline_p_count,ratio_ge_gq_mean,ratio_ge_gq_sem,ratio_ge_gq_count,gq_norm_mean,gq_norm_sem,gq_norm_count,entropy_estimate_mean,entropy_estimate_sem,entropy_estimate_count
can,alr_half,40000,0.06489321314729746,0.003782692546764998,3,-0.0023550614714622545,0.033155080786386626,3,-23.090953985850017,2.806396722001254,3,0.6143708179394404,0.0007067418184108112,3,0.7888836860656738,0.0029256936095669647,3,0.22337705517808595,0.0008337365477994099,3,-0.41939064860343933,0.004400791332206161,3,0.0,0.0,3,,,0,,,0,0.0023550614714622545,0.033155080786386626,3
can,alr_half,45000,0.0623686755696932,0.0038514432262175854,3,0.20244294653336206,0.35651498113550767,3,-23.294272422790527,2.770958630140845,3,0.6150796512762705,0.0022797841104268885,3,0.7950393905242285,0.00788249462128158,3,0.22237724314133325,0.0031569203196331057,3,-0.4258190294106801,0.004886008031588465,3,0.0,0.0,3,,,0,,,0,-0.20244294653336206,0.35651498113550767,3
can,alr_half,50000,0.0586588233398894,0.0023922433903929693,3,-0.0608981562157472,0.14903883652701638,3,-23.685417016347248,2.223415335271071,3,0.614606166879336,0.00034940831470230615,3,0.7909536560376486,0.0008254393771499666,3,0.2214123047888279,0.0013799402868535883,3,-0.4194575051466624,0.007657698849561025,3,0.0,0.0,3,,,0,,,0,0.0608981562157472,0.14903883652701638,3
can,alr_half,55000,0.05550224186542129,0.002103051278153738,3,0.10401755695541698,0.22842846631438773,3,-29.19602870941162,3.1565755839786225,3,0.6156589140494665,0.0021285050122044915,3,0.7872363825639089,0.005443731913439615,3,0.22163319463531175,0.003339565330254556,3,-0.42033835748831433,0.0003690740100283514,3,0.0,0.0,3,,,0,,,0,-0.10401755695541698,0.22842846631438773,3
can,alr_half,60000,0.0530246452738841,0.0015873400746908397,3,0.09883113453785575,0.15338124531617323,3,-29.01610196431478,0.9259627960424631,3,0.618640665213267,0.0007419405508075124,3,0.7925829450289408,0.0035886096906578803,3,0.22722285290559133,0.001438797767949281,3,-0.411496106783549,0.00035786928626922005,3,0.0,0.0,3,,,0,,,0,-0.09883113453785575,0.15338124531617323,3
can,alr_half,65000,0.05192346187929306,0.002179724556833226,3,0.05896650875608129,0.1350040727099222,3,-30.725766976674397,0.3884866705380574,3,0.6184628903865814,0.0009239014537453936,3,0.7933730830748876,0.004698399102311545,3,0.22793434808651605,0.00028924567871481464,3,-0.4132571443915367,0.0039691652886732105,3,0.0,0.0,3,,,0,,,0,-0.05896650875608129,0.1350040727099222,3
can,alr_half,70000,0.049765682173892815,0.0018082610091396465,3,-0.3534945845603943,0.21656913870955188,3,-31.53149636586507,0.45501364314491727,3,0.6139862438042959,0.0010267771646292952,3,0.7811435014009476,0.006704004846173376,3,0.22216798116763434,0.001616939971022419,3,-0.41192910075187683,0.003924576196835777,3,0.0,0.0,3,,,0,,,0,0.3534945845603943,0.21656913870955188,3
can,alr_half,75000,0.048959939119716446,0.001872089080709785,3,0.40412694960832596,0.15695927864067952,3,-34.10645389556885,0.3305324644550712,3,0.6192175249258677,0.000686031488806306,3,0.7993593861659368,0.0007287330200749897,3,0.23118955766161284,0.0005336466330240468,3,-0.41643640398979187,0.0015431476479829639,3,0.0,0.0,3,,,0,,,0,-0.40412694960832596,0.15695927864067952,3
can,alr_half,80000,0.04751501500916974,0.0018023206053457096,3,-0.10010784553984799,0.057107950542074605,3,-34.112306435902916,1.0025122273336016,3,0.6162352164586385,0.0011102141000211452,3,0.7842425058285395,0.0028597694914109504,3,0.22201684365669885,0.0015836636828456625,3,-0.4199248378475507,0.0030295043100311276,3,0.0,0.0,3,,,0,,,0,0.10010784553984799,0.057107950542074605,3
can,alr_half,85000,0.046815898176282573,0.001673859161347818,3,0.16749869473278525,0.1674948446005209,3,-35.454574267069496,1.355144394962006,3,0.617804025610288,0.0002654717475977468,3,0.7910454322894415,0.005349373276261597,3,0.2257487066090107,0.0022263533668323513,3,-0.41744239379962284,0.0019069123934491337,3,0.0,0.0,3,,,0,,,0,-0.16749869473278525,0.1674948446005209,3
can,alr_half,90000,0.04675600332518414,0.001352212493952,3,-0.10012560685475667,0.19104845501869502,3,-36.446197509765625,0.7782342409585107,3,0.61596253712972,0.0004093949646305911,3,0.7846079230308532,0.0026635474471219983,3,0.22345611055692038,0.0009989381171691082,3,-0.42437063058217367,0.00017840782837418972,3,0.0,0.0,3,,,0,,,0,0.10012560685475667,0.19104845501869502,3
can,alr_half,95000,0.04655035478062922,0.0012330394806854448,3,-0.11533721350133419,0.2648817421659468,3,-36.65811983744303,0.8766025295741781,3,0.6155699342489243,0.0012159961165314288,3,0.7809414813915888,0.002859918379951376,3,0.2235863208770752,0.0034809947389695495,3,-0.4209216386079788,0.0022765896535980536,3,0.0,0.0,3,,,0,,,0,0.11533721350133419,0.2648817421659468,3
can,alr_half,100000,0.04641451815453664,0.0013756595902929046,3,-0.3492827049146096,0.20210388519538078,3,-35.62961800893148,0.32344148391774363,3,0.6153746743996938,0.0018779148246271138,3,0.7748492757479349,0.004066968037522206,3,0.22120304157336554,0.0010853747861677009,3,-0.41836205621560413,0.004619377353370833,3,0.0,0.0,3,,,0,,,0,0.3492827049146096,0.20210388519538078,3
can,alr_half,105000,0.04630970555978512,0.0015853065046781362,3,-0.007851163546244303,0.15862929033254655,3,-37.255138079325356,0.5951961917819467,3,0.6166104525327682,0.0015518519432301898,3,0.7834508021672567,0.00570696388254028,3,0.22515579561392465,0.002708349414706378,3,-0.42354291925827664,0.0052456185976360705,3,0.0,0.0,3,,,0,,,0,0.007851163546244303,0.15862929033254655,3
can,alr_half,110000,0.045925625196347596,0.0017033457007875686,3,0.005070435504118602,0.19587397283917876,3,-37.48674074808756,0.5563850466358155,3,0.6188167879978815,0.0029615845561307805,3,0.7859839896361033,0.009233659074539113,3,0.22364445154865584,0.002625256865908121,3,-0.42774008214473724,0.003995270073782121,3,0.0,0.0,3,,,0,,,0,-0.005070435504118602,0.19587397283917876,3
can,alr_half,115000,0.04617079845629627,0.0020593370370878984,3,0.1613954578836759,0.1420250319393637,3,-38.03028869628906,1.2534689606266716,3,0.617049902677536,0.001063671555622697,3,0.7890272935231527,0.0036054581985574654,3,0.22539993499716124,0.003645759825604956,3,-0.4234568178653717,0.0027090837312876833,3,0.0,0.0,3,,,0,,,0,-0.1613954578836759,0.1420250319393637,3
can,alr_half,120000,0.04593396916985507,0.0015814199336134527,3,-0.09710311492284136,0.2576672576261888,3,-36.60254109700521,0.5172160874850177,3,0.6170696457227071,0.001960667405096107,3,0.7836831053098043,0.005514639427310591,3,0.22363282342751822,0.0022171528747875866,3,-0.4220557709534963,0.0011310839002531073,3,0.0,0.0,3,,,0,,,0,0.09710311492284136,0.2576672576261888,3
